"","datetime","discharge_daily"
"304",2014-10-31,2252.55833333333
"305",2014-11-01,2226
"306",2014-11-02,2129.02916666667
"307",2014-11-03,2034.62083333333
"308",2014-11-04,1929.6375
"309",2014-11-05,1845.82916666667
"310",2014-11-06,2120.5875
"311",2014-11-07,2142.00833333333
"312",2014-11-08,2067.9375
"313",2014-11-09,1998.09583333333
"314",2014-11-10,1900.96666666667
"315",2014-11-11,1836.1875
"316",2014-11-12,1777.2125
"317",2014-11-13,1720.79583333333
"318",2014-11-14,1687.92916666667
"319",2014-11-15,1676.8
"320",2014-11-16,1673.90416666667
"321",2014-11-17,1693.79166666667
"322",2014-11-18,1694.19166666667
"323",2014-11-19,2185.05416666667
"324",2014-11-20,2110.65
"325",2014-11-21,3555.36666666667
"326",2014-11-22,4393.82083333333
"327",2014-11-23,4078.5625
"328",2014-11-24,4988.225
"329",2014-11-25,5062.52916666667
"330",2014-11-26,7299.375
"331",2014-11-27,10750.5833333333
"332",2014-11-28,9987.375
"333",2014-11-29,8715.24166666667
"334",2014-11-30,8009.95
"335",2014-12-01,7615.0375
"336",2014-12-02,7978.75
"337",2014-12-03,8778.32083333333
"338",2014-12-04,8614.24166666667
"339",2014-12-05,8249.45416666667
"340",2014-12-06,8354.2375
"341",2014-12-07,9990.45
"342",2014-12-08,10724.25
"343",2014-12-09,12248.25
"344",2014-12-10,13885.7916666667
"345",2014-12-11,14241.4583333333
"346",2014-12-12,13389.625
"347",2014-12-13,12416.2083333333
"348",2014-12-14,11659.7916666667
"349",2014-12-15,11077.7083333333
"350",2014-12-16,10995.4166666667
"351",2014-12-17,10967.0416666667
"352",2014-12-18,10497.25
"353",2014-12-19,9892.02916666667
"354",2014-12-20,9441.7125
"355",2014-12-21,9074.77916666667
"356",2014-12-22,8718.50416666667
"357",2014-12-23,8606.32083333333
"358",2014-12-24,10748.0291666667
"359",2014-12-25,12231.625
"360",2014-12-26,11893.75
"361",2014-12-27,11002.25
"362",2014-12-28,10278
"363",2014-12-29,9761.975
"364",2014-12-30,9231.20833333333
"365",2014-12-31,8659.97916666667
"366",2015-01-01,8107.95833333333
"367",2015-01-02,7642.97083333333
"368",2015-01-03,7489.35833333333
"369",2015-01-04,9692.06666666667
"370",2015-01-05,10952.5416666667
"371",2015-01-06,10300.45
"372",2015-01-07,9534.10416666667
"373",2015-01-08,9161.63333333333
"374",2015-01-09,9038.93333333333
"375",2015-01-10,8856.4125
"376",2015-01-11,8474.45
"377",2015-01-12,8355.91666666667
"378",2015-01-13,8913.57916666667
"379",2015-01-14,8690.05833333333
"380",2015-01-15,8234.04166666667
"381",2015-01-16,7952.63333333333
"382",2015-01-17,7824.075
"383",2015-01-18,7950.54583333333
"384",2015-01-19,8060.85416666667
"385",2015-01-20,7941.55416666667
"386",2015-01-21,7734.24583333333
"387",2015-01-22,7632.95416666667
"388",2015-01-23,7416.49583333333
"389",2015-01-24,12621.1625
"390",2015-01-25,16159.2916666667
"391",2015-01-26,15194.5
"392",2015-01-27,13987.625
"393",2015-01-28,12940.4166666667
"394",2015-01-29,12103.1666666667
"395",2015-01-30,11575.125
"396",2015-01-31,10878.625
"397",2015-02-01,10318.1666666667
"398",2015-02-02,10338.3333333333
"399",2015-02-03,11321.625
"400",2015-02-04,11979.4583333333
"401",2015-02-05,11889.2083333333
"402",2015-02-06,12237.125
"403",2015-02-07,12197.125
"404",2015-02-08,11538.75
"405",2015-02-09,10831
"406",2015-02-10,10521.75
"407",2015-02-11,10376.75
"408",2015-02-12,10036.05
"409",2015-02-13,9557.34583333333
"410",2015-02-14,9103.82916666667
"411",2015-02-15,8767.23333333333
"412",2015-02-16,8393.90833333333
"413",2015-02-17,8098.6625
"414",2015-02-18,7950.31666666667
"415",2015-02-19,7899.8875
"416",2015-02-20,7732.2125
"417",2015-02-21,7607.2875
"418",2015-02-22,7664.49583333333
"419",2015-02-23,7620.3125
"420",2015-02-24,7639.24166666667
"421",2015-02-25,7759.275
"422",2015-02-26,7930.2875
"423",2015-02-27,8011.375
"424",2015-02-28,7932.4125
"425",2015-03-01,7649.3
"426",2015-03-02,7495.125
"427",2015-03-03,7655.56666666667
"428",2015-03-04,8175.125
"429",2015-03-05,14618.75
"430",2015-03-06,24340.375
"431",2015-03-07,31444.1666666667
"432",2015-03-08,33479.5833333333
"433",2015-03-09,34298.125
"434",2015-03-10,36797.5
"435",2015-03-11,45281.5416666667
"436",2015-03-12,49012.0833333333
"437",2015-03-13,46359.7083333333
"438",2015-03-14,43063.2916666667
"439",2015-03-15,43034.6666666667
"440",2015-03-16,39505.875
"441",2015-03-17,34508.3333333333
"442",2015-03-18,30394.6666666667
"443",2015-03-19,26768.0833333333
"444",2015-03-20,24502.7083333333
"445",2015-03-21,24329.2083333333
"446",2015-03-22,24317.2083333333
"447",2015-03-23,23463.5833333333
"448",2015-03-24,21894.5416666667
"449",2015-03-25,20067.5416666667
"450",2015-03-26,18337.125
"451",2015-03-27,18943.875
"452",2015-03-28,18568.625
"453",2015-03-29,16610.375
"454",2015-03-30,14737.6666666667
"455",2015-03-31,13434.7083333333
"456",2015-04-01,12484.9166666667
"457",2015-04-02,11632.7083333333
"458",2015-04-03,10896.2083333333
"459",2015-04-04,10191.3375
"460",2015-04-05,9560.13333333333
"461",2015-04-06,9178.78333333333
"462",2015-04-07,9050.975
"463",2015-04-08,9636.32916666667
"464",2015-04-09,10319.1708333333
"465",2015-04-10,10430.8333333333
"466",2015-04-11,10437.125
"467",2015-04-12,11289.4166666667
"468",2015-04-13,13430.375
"469",2015-04-14,14474.1666666667
"470",2015-04-15,13851.7916666667
"471",2015-04-16,13520.2916666667
"472",2015-04-17,14451.125
"473",2015-04-18,15168.8333333333
"474",2015-04-19,14582.1666666667
"475",2015-04-20,20084.75
"476",2015-04-21,28316.5
"477",2015-04-22,32968.9166666667
"478",2015-04-23,32937.7916666667
"479",2015-04-24,27506.125
"480",2015-04-25,22259.0833333333
"481",2015-04-26,19042.1666666667
"482",2015-04-27,16653.1666666667
"483",2015-04-28,14974.875
"484",2015-04-29,14130.0416666667
"485",2015-04-30,13578.5833333333
"486",2015-05-01,13216.9583333333
"487",2015-05-02,12664.3333333333
"488",2015-05-03,12359.0416666667
"489",2015-05-04,12772
"490",2015-05-05,12941.5833333333
"491",2015-05-06,12302.25
"492",2015-05-07,11927.9166666667
"493",2015-05-08,11635.375
"494",2015-05-09,11029.8333333333
"495",2015-05-10,9939.94583333333
"496",2015-05-11,8812.90416666667
"497",2015-05-12,7887.58333333333
"498",2015-05-13,7199.09166666667
"499",2015-05-14,6607.2625
"500",2015-05-15,6084.75
"501",2015-05-16,5859.63333333333
"502",2015-05-17,6081.85
"503",2015-05-18,5595.61666666667
"504",2015-05-19,6783.43333333333
"505",2015-05-20,7316.84583333333
"506",2015-05-21,6781.35
"507",2015-05-22,6020.0875
"508",2015-05-23,5499.66666666667
"509",2015-05-24,5137.5875
"510",2015-05-25,4823.47083333333
"511",2015-05-26,4531.50833333333
"512",2015-05-27,4339.65416666667
"513",2015-05-28,4164.15416666667
"514",2015-05-29,3922.09166666667
"515",2015-05-30,3644.18333333333
"516",2015-05-31,3402.67083333333
"517",2015-06-01,3628.29583333333
"518",2015-06-02,7254.97083333333
"519",2015-06-03,10347.5291666667
"520",2015-06-04,8858.80833333333
"521",2015-06-05,7527.00416666667
"522",2015-06-06,6507.50833333333
"523",2015-06-07,5866.6625
"524",2015-06-08,5642.95
"525",2015-06-09,6436.05833333333
"526",2015-06-10,5843.4125
"527",2015-06-11,5414.75
"528",2015-06-12,4980.19166666667
"529",2015-06-13,4674.61666666667
"530",2015-06-14,4282.12083333333
"531",2015-06-15,4002.9375
"532",2015-06-16,3943.875
"533",2015-06-17,3879.575
"534",2015-06-18,4238.0875
"535",2015-06-19,4485.91666666667
"536",2015-06-20,4867.09583333333
"537",2015-06-21,7621.475
"538",2015-06-22,7598.425
