"","datetime","discharge"
"322",2018-02-23 10:00:00,20417
"323",2018-02-23 11:00:00,20336
"324",2018-02-23 12:00:00,20218
"325",2018-02-23 13:00:00,20110
"326",2018-02-23 14:00:00,20010
"327",2018-02-23 15:00:00,19920
"328",2018-02-23 16:00:00,19836
"329",2018-02-23 17:00:00,19760
"330",2018-02-23 18:00:00,19689
"331",2018-02-23 19:00:00,19625
"332",2018-02-23 20:00:00,19566
"333",2018-02-23 21:00:00,19512
"334",2018-02-23 22:00:00,19461
"335",2018-02-23 23:00:00,19414
"336",2018-02-24 00:00:00,19370
"337",2018-02-24 01:00:00,19330
"338",2018-02-24 02:00:00,19291
"339",2018-02-24 03:00:00,19255
"340",2018-02-24 04:00:00,19220
"341",2018-02-24 05:00:00,19187
"342",2018-02-24 06:00:00,19154
"343",2018-02-24 07:00:00,19122
"344",2018-02-24 08:00:00,19090
"345",2018-02-24 09:00:00,19057
"346",2018-02-24 10:00:00,19024
"347",2018-02-24 11:00:00,18991
"348",2018-02-24 12:00:00,18961
"349",2018-02-24 13:00:00,18930
"350",2018-02-24 14:00:00,18899
"351",2018-02-24 15:00:00,18873
"352",2018-02-24 16:00:00,18877
"353",2018-02-24 17:00:00,18959
"354",2018-02-24 18:00:00,19040
"355",2018-02-24 19:00:00,19059
"356",2018-02-24 20:00:00,19049
"357",2018-02-24 21:00:00,19013
"358",2018-02-24 22:00:00,18976
"359",2018-02-24 23:00:00,18951
"360",2018-02-25 00:00:00,18979
"361",2018-02-25 01:00:00,19226
"362",2018-02-25 02:00:00,19493
"363",2018-02-25 03:00:00,19545
"364",2018-02-25 04:00:00,19507
"365",2018-02-25 05:00:00,19444
"366",2018-02-25 06:00:00,19393
"367",2018-02-25 07:00:00,19351
"368",2018-02-25 08:00:00,19319
"369",2018-02-25 09:00:00,19382
"370",2018-02-25 10:00:00,19528
"371",2018-02-25 11:00:00,19624
"372",2018-02-25 12:00:00,19651
"373",2018-02-25 13:00:00,19659
"374",2018-02-25 14:00:00,19664
"375",2018-02-25 15:00:00,19658
"376",2018-02-25 16:00:00,19655
"377",2018-02-25 17:00:00,19663
"378",2018-02-25 18:00:00,19682
"379",2018-02-25 19:00:00,19713
"380",2018-02-25 20:00:00,19753
"381",2018-02-25 21:00:00,19800
"382",2018-02-25 22:00:00,19855
"383",2018-02-25 23:00:00,19916
"384",2018-02-26 00:00:00,19983
"385",2018-02-26 01:00:00,20055
"386",2018-02-26 02:00:00,20133
"387",2018-02-26 03:00:00,20214
"388",2018-02-26 04:00:00,20299
"389",2018-02-26 05:00:00,20388
"390",2018-02-26 06:00:00,20481
"391",2018-02-26 07:00:00,20576
"392",2018-02-26 08:00:00,20673
"393",2018-02-26 09:00:00,20773
"394",2018-02-26 10:00:00,20873
"395",2018-02-26 11:00:00,20975
"396",2018-02-26 12:00:00,21079
"397",2018-02-26 13:00:00,21185
"398",2018-02-26 14:00:00,21292
"399",2018-02-26 15:00:00,21402
"400",2018-02-26 16:00:00,21513
"401",2018-02-26 17:00:00,21626
"402",2018-02-26 18:00:00,21742
"403",2018-02-26 19:00:00,21864
"404",2018-02-26 20:00:00,21986
"405",2018-02-26 21:00:00,22103
"406",2018-02-26 22:00:00,22220
"407",2018-02-26 23:00:00,22337
"408",2018-02-27 00:00:00,22453
"409",2018-02-27 01:00:00,22569
"410",2018-02-27 02:00:00,22685
"411",2018-02-27 03:00:00,22799
"412",2018-02-27 04:00:00,22912
"413",2018-02-27 05:00:00,23025
"414",2018-02-27 06:00:00,23135
"415",2018-02-27 07:00:00,23245
"416",2018-02-27 08:00:00,23352
"417",2018-02-27 09:00:00,23458
"418",2018-02-27 10:00:00,23561
"419",2018-02-27 11:00:00,23661
"420",2018-02-27 12:00:00,23759
"421",2018-02-27 13:00:00,23854
"422",2018-02-27 14:00:00,23946
"423",2018-02-27 15:00:00,24036
"424",2018-02-27 16:00:00,24123
"425",2018-02-27 17:00:00,24207
"426",2018-02-27 18:00:00,24287
"427",2018-02-27 19:00:00,24364
"428",2018-02-27 20:00:00,24436
"429",2018-02-27 21:00:00,24504
"430",2018-02-27 22:00:00,24565
"431",2018-02-27 23:00:00,24622
"432",2018-02-28 00:00:00,24673
"433",2018-02-28 01:00:00,24717
"434",2018-02-28 02:00:00,24756
"435",2018-02-28 03:00:00,24789
"436",2018-02-28 04:00:00,24815
"437",2018-02-28 05:00:00,24835
"438",2018-02-28 06:00:00,24849
"439",2018-02-28 07:00:00,24856
"440",2018-02-28 08:00:00,24857
"441",2018-02-28 09:00:00,24852
"442",2018-02-28 10:00:00,24841
"443",2018-02-28 11:00:00,24823
"444",2018-02-28 12:00:00,24799
"445",2018-02-28 13:00:00,24769
"446",2018-02-28 14:00:00,24734
"447",2018-02-28 15:00:00,24693
"448",2018-02-28 16:00:00,24647
"449",2018-02-28 17:00:00,24596
"450",2018-02-28 18:00:00,24540
"451",2018-02-28 19:00:00,24479
"452",2018-02-28 20:00:00,24414
"453",2018-02-28 21:00:00,24344
"454",2018-02-28 22:00:00,24271
"455",2018-02-28 23:00:00,24195
"456",2018-03-01 00:00:00,24114
"457",2018-03-01 01:00:00,24046
"458",2018-03-01 02:00:00,24012
"459",2018-03-01 03:00:00,23997
"460",2018-03-01 04:00:00,23969
"461",2018-03-01 05:00:00,23922
"462",2018-03-01 06:00:00,23859
"463",2018-03-01 07:00:00,23785
"464",2018-03-01 08:00:00,23700
"465",2018-03-01 09:00:00,23608
"466",2018-03-01 10:00:00,23508
"467",2018-03-01 11:00:00,23405
"468",2018-03-01 12:00:00,23299
"469",2018-03-01 13:00:00,23190
"470",2018-03-01 14:00:00,23076
"471",2018-03-01 15:00:00,22962
"472",2018-03-01 16:00:00,22846
"473",2018-03-01 17:00:00,22730
"474",2018-03-01 18:00:00,22613
"475",2018-03-01 19:00:00,22497
"476",2018-03-01 20:00:00,22381
"477",2018-03-01 21:00:00,22272
"478",2018-03-01 22:00:00,22178
"479",2018-03-01 23:00:00,22102
"480",2018-03-02 00:00:00,22009
"481",2018-03-02 01:00:00,21906
"482",2018-03-02 02:00:00,21824
"483",2018-03-02 03:00:00,21740
"484",2018-03-02 04:00:00,21648
"485",2018-03-02 05:00:00,21558
"486",2018-03-02 06:00:00,21474
"487",2018-03-02 07:00:00,21398
"488",2018-03-02 08:00:00,21330
"489",2018-03-02 09:00:00,21271
"490",2018-03-02 10:00:00,21217
"491",2018-03-02 11:00:00,21166
"492",2018-03-02 12:00:00,21121
"493",2018-03-02 13:00:00,21080
"494",2018-03-02 14:00:00,21046
"495",2018-03-02 15:00:00,21016
"496",2018-03-02 16:00:00,20992
"497",2018-03-02 17:00:00,20973
"498",2018-03-02 18:00:00,20958
"499",2018-03-02 19:00:00,20947
"500",2018-03-02 20:00:00,20939
"501",2018-03-02 21:00:00,20934
"502",2018-03-02 22:00:00,20930
"503",2018-03-02 23:00:00,20927
"504",2018-03-03 00:00:00,20925
"505",2018-03-03 01:00:00,20924
"506",2018-03-03 02:00:00,20923
"507",2018-03-03 03:00:00,20922
"508",2018-03-03 04:00:00,20920
"509",2018-03-03 05:00:00,20918
"510",2018-03-03 06:00:00,20916
"511",2018-03-03 07:00:00,20912
"512",2018-03-03 08:00:00,20907
"513",2018-03-03 09:00:00,20901
"514",2018-03-03 10:00:00,20894
"515",2018-03-03 11:00:00,20885
"516",2018-03-03 12:00:00,20875
"517",2018-03-03 13:00:00,20863
"518",2018-03-03 14:00:00,20851
"519",2018-03-03 15:00:00,20838
"520",2018-03-03 16:00:00,20825
"521",2018-03-03 17:00:00,20812
"522",2018-03-03 18:00:00,20798
"523",2018-03-03 19:00:00,20784
"524",2018-03-03 20:00:00,20769
"525",2018-03-03 21:00:00,20754
"526",2018-03-03 22:00:00,20738
"527",2018-03-03 23:00:00,20722
"528",2018-03-04 00:00:00,20706
"529",2018-03-04 01:00:00,20689
"530",2018-03-04 02:00:00,20673
"531",2018-03-04 03:00:00,20656
"532",2018-03-04 04:00:00,20639
"533",2018-03-04 05:00:00,20622
"534",2018-03-04 06:00:00,20605
"535",2018-03-04 07:00:00,20588
"536",2018-03-04 08:00:00,20571
"537",2018-03-04 09:00:00,20553
"538",2018-03-04 10:00:00,20535
"539",2018-03-04 11:00:00,20517
"540",2018-03-04 12:00:00,20495
"541",2018-03-04 13:00:00,20472
"542",2018-03-04 14:00:00,20449
"543",2018-03-04 15:00:00,20426
"544",2018-03-04 16:00:00,20402
"545",2018-03-04 17:00:00,20377
"546",2018-03-04 18:00:00,20351
"547",2018-03-04 19:00:00,20324
"548",2018-03-04 20:00:00,20375
"549",2018-03-04 21:00:00,20407
"550",2018-03-04 22:00:00,20341
"551",2018-03-04 23:00:00,20282
"552",2018-03-05 00:00:00,20230
"553",2018-03-05 01:00:00,20179
"554",2018-03-05 02:00:00,20129
"555",2018-03-05 03:00:00,20079
"556",2018-03-05 04:00:00,20027
"557",2018-03-05 05:00:00,19973
"558",2018-03-05 06:00:00,19917
"559",2018-03-05 07:00:00,19859
"560",2018-03-05 08:00:00,19799
"561",2018-03-05 09:00:00,19737
"562",2018-03-05 10:00:00,19673
"563",2018-03-05 11:00:00,19607
"564",2018-03-05 12:00:00,19539
"565",2018-03-05 13:00:00,19469
"566",2018-03-05 14:00:00,19397
"567",2018-03-05 15:00:00,19323
"568",2018-03-05 16:00:00,19248
"569",2018-03-05 17:00:00,19170
"570",2018-03-05 18:00:00,19091
"571",2018-03-05 19:00:00,19010
"572",2018-03-05 20:00:00,18928
"573",2018-03-05 21:00:00,18843
"574",2018-03-05 22:00:00,18755
"575",2018-03-05 23:00:00,18666
"576",2018-03-06 00:00:00,18576
"577",2018-03-06 01:00:00,18487
"578",2018-03-06 02:00:00,18404
"579",2018-03-06 03:00:00,18323
"580",2018-03-06 04:00:00,18237
"581",2018-03-06 05:00:00,18148
"582",2018-03-06 06:00:00,18056
"583",2018-03-06 07:00:00,17962
"584",2018-03-06 08:00:00,17866
"585",2018-03-06 09:00:00,17768
"586",2018-03-06 10:00:00,17668
"587",2018-03-06 11:00:00,17568
"588",2018-03-06 12:00:00,17466
"589",2018-03-06 13:00:00,17364
"590",2018-03-06 14:00:00,17263
"591",2018-03-06 15:00:00,17162
"592",2018-03-06 16:00:00,17061
"593",2018-03-06 17:00:00,16960
"594",2018-03-06 18:00:00,16861
"595",2018-03-06 19:00:00,16762
"596",2018-03-06 20:00:00,16665
"597",2018-03-06 21:00:00,16575
"598",2018-03-06 22:00:00,16506
"599",2018-03-06 23:00:00,16504
"600",2018-03-07 00:00:00,16505
"601",2018-03-07 01:00:00,16469
"602",2018-03-07 02:00:00,16400
"603",2018-03-07 03:00:00,16282
"604",2018-03-07 04:00:00,16167
"605",2018-03-07 05:00:00,16058
"606",2018-03-07 06:00:00,15956
"607",2018-03-07 07:00:00,15860
"608",2018-03-07 08:00:00,15766
"609",2018-03-07 09:00:00,15674
"610",2018-03-07 10:00:00,15585
"611",2018-03-07 11:00:00,15502
"612",2018-03-07 12:00:00,15437
"613",2018-03-07 13:00:00,15367
"614",2018-03-07 14:00:00,15278
"615",2018-03-07 15:00:00,15189
"616",2018-03-07 16:00:00,15102
"617",2018-03-07 17:00:00,15017
"618",2018-03-07 18:00:00,14935
"619",2018-03-07 19:00:00,14855
"620",2018-03-07 20:00:00,14778
"621",2018-03-07 21:00:00,14704
"622",2018-03-07 22:00:00,14629
"623",2018-03-07 23:00:00,14554
"624",2018-03-08 00:00:00,14481
"625",2018-03-08 01:00:00,14409
"626",2018-03-08 02:00:00,14339
"627",2018-03-08 03:00:00,14270
"628",2018-03-08 04:00:00,14202
"629",2018-03-08 05:00:00,14135
"630",2018-03-08 06:00:00,14069
"631",2018-03-08 07:00:00,14004
"632",2018-03-08 08:00:00,13941
"633",2018-03-08 09:00:00,13878
"634",2018-03-08 10:00:00,13815
"635",2018-03-08 11:00:00,13753
"636",2018-03-08 12:00:00,13691
"637",2018-03-08 13:00:00,13630
"638",2018-03-08 14:00:00,13571
"639",2018-03-08 15:00:00,13513
"640",2018-03-08 16:00:00,13456
"641",2018-03-08 17:00:00,13400
"642",2018-03-08 18:00:00,13345
"643",2018-03-08 19:00:00,13292
"644",2018-03-08 20:00:00,13239
"645",2018-03-08 21:00:00,13187
"646",2018-03-08 22:00:00,13135
"647",2018-03-08 23:00:00,13085
"648",2018-03-09 00:00:00,13035
"649",2018-03-09 01:00:00,12986
"650",2018-03-09 02:00:00,12937
"651",2018-03-09 03:00:00,12889
"652",2018-03-09 04:00:00,12842
"653",2018-03-09 05:00:00,12795
"654",2018-03-09 06:00:00,12748
"655",2018-03-09 07:00:00,12702
"656",2018-03-09 08:00:00,12656
"657",2018-03-09 09:00:00,12611
"658",2018-03-09 10:00:00,12565
"659",2018-03-09 11:00:00,12520
"660",2018-03-09 12:00:00,12474
"661",2018-03-09 13:00:00,12429
"662",2018-03-09 14:00:00,12384
"663",2018-03-09 15:00:00,12341
"664",2018-03-09 16:00:00,12299
"665",2018-03-09 17:00:00,12257
"666",2018-03-09 18:00:00,12216
"667",2018-03-09 19:00:00,12175
"668",2018-03-09 20:00:00,12136
"669",2018-03-09 21:00:00,12096
"670",2018-03-09 22:00:00,12056
"671",2018-03-09 23:00:00,12018
"672",2018-03-10 00:00:00,11979
"673",2018-03-10 01:00:00,11941
"674",2018-03-10 02:00:00,11903
"675",2018-03-10 03:00:00,11865
"676",2018-03-10 04:00:00,11828
"677",2018-03-10 05:00:00,11792
"678",2018-03-10 06:00:00,11755
"679",2018-03-10 07:00:00,11720
"680",2018-03-10 08:00:00,11684
"681",2018-03-10 09:00:00,11649
"682",2018-03-10 10:00:00,11614
"683",2018-03-10 11:00:00,11578
"684",2018-03-10 12:00:00,11543
"685",2018-03-10 13:00:00,11509
"686",2018-03-10 14:00:00,11475
"687",2018-03-10 15:00:00,11441
"688",2018-03-10 16:00:00,11407
"689",2018-03-10 17:00:00,11374
"690",2018-03-10 18:00:00,11342
"691",2018-03-10 19:00:00,11310
"692",2018-03-10 20:00:00,11279
"693",2018-03-10 21:00:00,11247
"694",2018-03-10 22:00:00,11216
"695",2018-03-10 23:00:00,11185
"696",2018-03-11 00:00:00,11153
"697",2018-03-11 01:00:00,11122
"698",2018-03-11 02:00:00,11091
"699",2018-03-11 03:00:00,11060
"700",2018-03-11 04:00:00,11028
"701",2018-03-11 05:00:00,10997
"702",2018-03-11 06:00:00,10966
"703",2018-03-11 07:00:00,10934
"704",2018-03-11 08:00:00,10903
"705",2018-03-11 09:00:00,10871
"706",2018-03-11 10:00:00,10839
"707",2018-03-11 11:00:00,10807
"708",2018-03-11 12:00:00,10774
"709",2018-03-11 13:00:00,10741
"710",2018-03-11 14:00:00,10708
"711",2018-03-11 15:00:00,10675
"712",2018-03-11 16:00:00,10643
"713",2018-03-11 17:00:00,10612
"714",2018-03-11 18:00:00,10581
"715",2018-03-11 19:00:00,10550
"716",2018-03-11 20:00:00,10519
"717",2018-03-11 21:00:00,10489
"718",2018-03-11 22:00:00,10458
"719",2018-03-11 23:00:00,10428
"720",2018-03-12 00:00:00,10398
"721",2018-03-12 01:00:00,10367
"722",2018-03-12 02:00:00,10337
"723",2018-03-12 03:00:00,10307
"724",2018-03-12 04:00:00,10277
"725",2018-03-12 05:00:00,10247
"726",2018-03-12 06:00:00,10218
"727",2018-03-12 07:00:00,10188
"728",2018-03-12 08:00:00,10158
"729",2018-03-12 09:00:00,10128
"730",2018-03-12 10:00:00,10098
"731",2018-03-12 11:00:00,10068
"732",2018-03-12 12:00:00,10038
"733",2018-03-12 13:00:00,10008
"734",2018-03-12 14:00:00,9978.5
